geoid,zip,population,median_income
86000US28208,28208,39700,129886
86000US28209,28209,22694,34925
86000US28210,28210,48304,72535
86000US28211,28211,30789,68692
86000US28212,28212,45694,84366
86000US28213,28213,40724,39439
86000US28214,28214,41356,43984
86000US28215,28215,62533,60837
86000US28216,28216,51116,50305
86000US28217,28217,29410,48647
86000US28226,28226,39631,49230
86000US28227,28227,55769,94492
86000US28244,28244,0,57752
86000US28262,28262,43046,0
86000US28269,28269,76811,53261
86000US28270,28270,35059,64803
86000US28273,28273,39483,95224
86000US28277,28277,71605,63687
86000US28278,28278,27286,105885
86000US28280,28280,0,90282
86000US28282,28282,0,0
86000US28301,28301,17600,0
86000US28303,28303,29414,26261
86000US28304,28304,36404,39896
86000US28305,28305,5705,48358
86000US28306,28306,41944,50020
86000US28307,28307,17830,51597
86000US28308,28308,607,40559
86000US28310,28310,6470,0
86000US28311,28311,35641,0
86000US28312,28312,19196,47534
86000US28314,28314,58110,44683
86000US28315,28315,13700,47873
86000US28318,28318,4371,51725
86000US28320,28320,9919,47566
86000US28323,28323,3899,36199
86000US28325,28325,444,52351
86000US28326,28326,23385,56477
86000US28327,28327,16192,61299
86000US28328,28328,27225,53080
86000US28330,28330,444,35486
86000US28332,28332,354,28472
86000US28333,28333,11075,38333
86000US28334,28334,24780,30172
86000US28337,28337,10019,36751
86000US28338,28338,4663,33981
86000US28339,28339,7357,45260
86000US28340,28340,9657,40464
86000US28341,28341,4843,30026
86000US28342,28342,233,38068
86000US28343,28343,1404,45417
86000US28344,28344,4199,39531
86000US28345,28345,12107,43587
86000US28347,28347,2329,34918
86000US28348,28348,35673,28125
86000US28349,28349,2840,53090
86000US28350,28350,128,36537
86000US28351,28351,4698,0
86000US28352,28352,25760,36949
86000US28356,28356,4890,33657
86000US28357,28357,2682,67609
86000US28358,28358,38760,32060
86000US28360,28360,14931,37858
86000US28363,28363,1426,37608
86000US28364,28364,15183,39681
86000US28365,28365,16886,33462
86000US28366,28366,5564,44209
86000US28367,28367,67,33295
86000US28369,28369,2865,35500
86000US28371,28371,7249,29848
86000US28372,28372,14022,50523
86000US28373,28373,2602,29399
86000US28374,28374,17190,43836
86000US28375,28375,135,82312
86000US28376,28376,44328,41250
86000US28377,28377,12933,49480
86000US28379,28379,24403,28176
86000US28382,28382,7026,36806
86000US28383,28383,8854,46930
86000US28384,28384,11199,33952
86000US28385,28385,2562,32744
86000US28386,28386,5997,39236
86000US28387,28387,15526,31092
86000US28390,28390,23790,60617
86000US28391,28391,5984,46600
86000US28392,28392,1628,52762
86000US28393,28393,2106,31667
86000US28394,28394,5303,42287
86000US28395,28395,2466,47018
86000US28396,28396,2620,54656
86000US28398,28398,7765,44901
86000US28399,28399,1990,32813
86000US28401,28401,24279,33594
86000US28403,28403,40919,33309
86000US28405,28405,32330,37235
86000US28409,28409,34180,54544
86000US28411,28411,37995,78761
86000US28412,28412,38213,72045
86000US28420,28420,3845,52306
86000US28421,28421,1585,53519
86000US28422,28422,8404,36932
86000US28423,28423,2359,45183
86000US28424,28424,49,39958
86000US28425,28425,11634,0
86000US28428,28428,6533,40211
86000US28429,28429,7525,71250
86000US28430,28430,2205,49346
86000US28431,28431,7131,41169
86000US28432,28432,1790,36648
86000US28433,28433,5375,26198
86000US28434,28434,1023,27900
86000US28435,28435,2058,39215
86000US28436,28436,1975,36298
86000US28438,28438,1619,50972
86000US28439,28439,931,30048
86000US28441,28441,3818,32778
86000US28442,28442,1584,26849
86000US28443,28443,22138,37002
86000US28444,28444,1962,64317
86000US28445,28445,7278,52668
86000US28447,28447,1643,59766
86000US28448,28448,887,49199
86000US28449,28449,1932,20658
86000US28450,28450,2596,81181
86000US28451,28451,33435,51680
86000US28452,28452,934,55357
86000US28453,28453,3737,19238
86000US28454,28454,2503,40691
86000US28455,28455,1914,58889
86000US28456,28456,3800,41458
86000US28457,28457,10303,34451
86000US28458,28458,7024,48843
86000US28460,28460,10490,38750
86000US28461,28461,19897,60580
86000US28462,28462,12659,64418
86000US28463,28463,9741,41243
86000US28464,28464,2707,34564
86000US28465,28465,7252,20625
86000US28466,28466,9294,65547
86000US28467,28467,10551,36938
86000US28468,28468,5093,55367
86000US28469,28469,6128,55000
86000US28470,28470,12089,72321
86000US28472,28472,18423,39636
86000US28478,28478,5114,35332
86000US28479,28479,6274,39906
86000US28480,28480,2536,59175
86000US28501,28501,18334,83417
86000US28504,28504,21852,30053
86000US28508,28508,2699,47856
86000US28510,28510,1503,33568
86000US28511,28511,566,57381
86000US28512,28512,3236,38125
86000US28513,28513,10321,62660
86000US28515,28515,2584,48269
86000US28516,28516,11268,29292
86000US28518,28518,8512,48668
86000US28519,28519,260,51964
86000US28520,28520,322,53875
86000US28521,28521,2877,59135
86000US28523,28523,2364,56883
86000US28524,28524,304,62533
86000US28525,28525,2919,24867
86000US28526,28526,3018,36373
86000US28527,28527,1016,29293
86000US28528,28528,590,57708
86000US28529,28529,1706,38906
86000US28530,28530,6457,46224
86000US28531,28531,1361,36357
86000US28532,28532,22205,51111
86000US28533,28533,3248,50634
